ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
8970867120750,7845,14043,5,4,1,2,0,0,-8970867452265,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1258387055530,157467155298
8970867138489,7845,13943,5,4,1,2,0,0,-8970851454048,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258387055530,157467155298
8970879060306,0,14001,15,14,1,2,0,0,-8970879442426,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1008588522176,130981925529
8970931065948,11221,13999,0,1,1,2,0,0,-8970931430710,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1799316750005,191950839151
8970979066385,0,13,10,11,1,2,0,0,-8970971469115,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1848240288088,197913162816
8971000359544,7844,13991,15,14,2,4,0,0,-8971000645373,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1008840647920,131021681274
8971000380077,7844,2660,15,14,1,3,0,0,-8971000725382,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008840647920,131021681274
8971000384268,7844,2627,15,14,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1008840647920,131021681274
8971000564319,8803,13991,14,15,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1859829908061,202676447457
8971001074512,4526,13997,11,10,1,3,0,0,-8971000997624,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1153374777068,146471358562
8971003052914,0,13998,8,9,1,2,0,0,-8971003433210,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1740838857692,179595301895
8971006408313,9345,10496,6,7,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1764755042259,185176875734
8971011046981,0,14002,1,0,1,2,0,0,-8971011430131,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1085717429783,134549118791
8971015152688,4339,14043,1,0,1,2,0,0,-8971011906567,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1085855807193,134576035590
8971015140675,0,14002,0,1,1,2,0,0,-8971015526056,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1799523188188,191988529582
8971015123633,0,14000,3,2,1,2,0,0,-8971015481412,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1317606715577,163872408015
8971016922194,2660,10499,14,3,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1859879192611,202682221397
8971019054178,0,14002,1,0,1,2,0,0,-8971019434911,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1085855807193,134576035590
8971019054178,0,2655,6,7,1,2,0,0,-8971019435052,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1764755042259,185176875734
8971047065677,0,13998,9,8,1,2,0,0,-8971047446738,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1711300542159,162531074998
8971071051229,0,13998,8,9,1,2,0,0,-8971071433457,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1740981541378,179615032202
8971071051229,0,13993,14,15,1,2,0,0,-8971071430133,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1859931169533,202684742194
8971075056294,0,3587,1,8,1,2,0,0,-8971059183317,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1085906815406,134578121842
8971087057381,0,13997,10,11,1,2,0,0,-8971087439569,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1848599007340,198046610013
8971103055781,0,14000,2,3,1,2,0,0,-8971103431077,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1798913249297,194093244166
8971103071495,0,4379,2,3,1,2,0,0,-8971091445802,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798913249297,194093244166
8971111057321,0,13,8,9,1,2,0,0,-8971103448586,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1741100009617,179640271666
8971139054922,0,14003,4,5,1,2,0,0,-8971139426316,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1869635076750,198468604833
8971139082998,0,7845,4,5,1,2,0,0,-8971101954867,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869635076750,198468604833
8971159058177,0,13991,2,3,1,2,0,0,-8971159443744,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1799065791444,194117927563
8971183072154,97,14001,14,12,0,2,0,0,-8971183455750,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,1,1,1860193149228,202824267490
8971210994955,10499,14002,0,11,1,2,0,0,-8971093713716,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1799877892343,192069490481
8971247046268,0,14002,11,10,1,2,0,0,-8971247428513,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1153752722801,146593266049
8971259048193,0,14002,10,11,1,2,0,0,-8971259426287,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1848649685391,198048223419
8971267110355,0,10106,8,0,1,2,0,0,-8971259436466,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1741595353110,179794204860
