ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
10405915053061,0,14348,3,2,1,2,0,0,-10405915433657,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2182210080765,435338343529
10405935069309,0,13,11,10,1,2,0,0,-10405927513039,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1969984681134,401341908687
10405935096338,7154,13,10,11,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2797071143078,479920013966
10405967082498,25,14348,2,8,0,2,0,0,-10405967449518,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,1,1,2721475894884,466540556506
10405971069209,0,14348,8,10,1,2,0,0,-10405971425501,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,2668057490607,452628266182
10405971078637,0,10106,8,10,1,2,0,0,-10405959482568,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2668057490607,452628266182
10405971050072,0,14348,8,9,1,2,0,0,-10405971425501,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2668057490607,452628266182
10405971062993,0,10106,8,9,1,2,0,0,-10405959482568,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2668057490607,452628266182
10405987065222,49,3587,6,10,0,2,0,0,-10405987448206,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,1,1,2700994713562,460079971993
10406000254711,4615,7845,4,6,1,2,0,0,-10405987693272,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2822241532386,481589764261
10406000267213,4615,8141,4,6,1,2,0,0,-10406000467913,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2822241532386,481589764261
10406043090380,10499,4339,0,12,1,2,0,0,-10406035545805,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2685464201833,452085146867
10406043098481,10499,12,0,12,1,2,0,0,-10406043470917,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2685464201833,452085146867
10406131064401,0,114,6,7,1,2,0,0,-10405619477834,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2701003583089,460080164426
10406131099602,114,11221,1,7,1,2,0,0,-10406123487906,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1866010296023,375810529181
10406131129703,114,14363,1,7,1,2,0,0,-10406131480135,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1866010296023,375810529181
10406231051636,0,10493,10,0,1,2,0,0,-10406231436232,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2797203768240,479927598193
10406231061833,0,10205,10,0,1,2,0,0,-10406231436232,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2797203768240,479927598193
10406267059079,0,6645,11,10,1,2,0,0,-10406267435767,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1970014572277,401342433385
10406272069671,10499,7636,6,4,1,2,0,0,-10406131484099,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2701003583089,460080164426
10406272082243,10499,14336,6,4,1,2,0,0,-10406272406485,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2701003583089,460080164426
10406272277590,14363,7636,6,1,1,2,0,0,-10406131484099,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2701003583089,460080164426
10406272285692,14363,14336,6,1,1,2,0,0,-10406272406485,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2701003583089,460080164426
10406272290371,10205,7636,6,10,1,2,0,0,-10406131484099,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2701003583089,460080164426
10406272297006,10205,14336,6,10,1,2,0,0,-10406272406485,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2701003583089,460080164426
10406272266485,14137,14268,10,11,1,2,0,0,-10406272643483,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2797221852988,479928624913
10406272355184,14137,7636,6,12,1,2,0,0,-10406131484099,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2701003583089,460080164426
10406272363356,14137,14336,6,12,1,2,0,0,-10406272406485,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2701003583089,460080164426
10406272523643,6647,7636,6,0,1,2,0,0,-10406131484099,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2701003583089,460080164426
10406272541872,6647,14336,6,0,1,2,0,0,-10406272406485,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2701003583089,460080164426
10406272583288,14363,7636,6,1,1,2,0,0,-10406131484099,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2701003583089,460080164426
10406272588526,14363,14336,6,1,1,2,0,0,-10406272406485,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2701003583089,460080164426
10406272547040,10496,7636,6,15,1,2,0,0,-10406131484099,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2701003583089,460080164426
10406272554653,10496,14336,6,15,1,2,0,0,-10406272406485,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2701003583089,460080164426
10406272592437,8803,7636,6,15,1,2,0,0,-10406131484099,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2701003583089,460080164426
10406272595789,8803,14336,6,15,1,2,0,0,-10406272406485,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2701003583089,460080164426
