ts,curr_pid,pid,src_cpu,dst_cpu,imbalance,src_len,src_numa_len,src_preferred_len,delta,cpu_idle,cpu_not_idle,cpu_newly_idle,same_node,prefer_src,prefer_dst,delta_faults,total_faults,dst_len,src_load,dst_load,nr_fails,cache_nice_tries,buddy_hot,throttled,p_running,test_aggressive,can_migrate,pc_0,pc_1
11217635063733,14562,14334,14,4,8,2,0,0,-11217627433822,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,4581860935344,1058770022636
11217887047012,14562,14567,15,4,4,2,0,0,-11217887432568,0,1,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,1,3205941193442,815822746304
11217887059095,14562,8803,15,4,4,2,0,0,-11217887432568,0,1,0,1,0,0,0,0,1,0,0,2,1,1,0,1,0,0,3205941193442,815822746304
11217919045889,14567,14572,14,15,20,2,0,0,-11217919333703,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4582829214428,1059044897343
11217919051546,14567,10499,14,15,20,2,0,0,-11217919421672,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,4582829214428,1059044897343
11218027054477,14566,14562,4,5,17,3,0,0,-11218027430798,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4505318119411,1004340151013
11218027069423,14566,7845,4,5,17,3,0,0,-11218019432284,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4505318119411,1004340151013
11218027073125,14566,6514,4,5,17,3,0,0,-11218027430798,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4505318119411,1004340151013
11218055050718,14572,14567,15,14,33,2,0,0,-11218055427699,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3206394623384,815904046042
11218055062312,14572,6690,15,14,33,2,0,0,-11218055427699,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3206394623384,815904046042
11218067051781,14573,14560,6,7,57,3,0,0,-11218067428703,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4366555573714,977782229037
11218067064283,14573,7636,6,7,57,3,0,0,-11218063434689,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4366555573714,977782229037
11218067068543,14573,6514,6,7,57,3,0,0,-11218067428703,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,4366555573714,977782229037
11218071050157,14565,14570,0,1,62,2,0,0,-11218071429145,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,4396949931893,975888448175
11218071061261,14565,3587,0,1,1,1,0,0,-11218071429145,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,4396949931893,975888448175
11218071115808,3587,14565,1,0,1,2,0,0,-11218071456355,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3297753016358,810066807554
11218755040341,14567,14572,14,15,18,2,0,0,-11218755404385,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4586059089647,1060022904613
11218755051307,14567,6647,14,15,18,2,0,0,-11218755420724,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,4586059089647,1060022904613
11219195063903,14569,14559,13,12,23,3,0,0,-11219192879383,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3315669673104,833598530924
11219195078779,14569,10495,13,12,23,3,0,0,-11219193915177,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3315669673104,833598530924
11219195084925,14569,10672,13,12,13,2,0,0,-11219195449206,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3315669673104,833598530924
11219203048990,14567,14572,14,15,7,3,0,0,-11219203190251,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4587656662187,1060381693555
11219203057511,14567,14334,14,15,7,3,0,0,-11219191931394,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4587656662187,1060381693555
11219203060374,14567,10499,14,15,7,3,0,0,-11219203422159,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,4587656662187,1060381693555
11219207051137,14562,14566,5,4,108,5,0,0,-11219193394375,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3621261721319,893827515271
11219207065524,14562,10724,5,4,47,4,0,0,-11219199428509,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3621261721319,893827515271
11219207071251,14562,10728,5,4,19,3,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3621261721319,893827515271
11219207076909,14562,10722,5,4,6,2,0,0,-11219203424051,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3621261721319,893827515271
11219207081169,14562,10723,5,4,6,2,0,0,-11219207439573,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3621261721319,893827515271
11219207051137,14564,10493,10,11,70,3,0,0,-11219197455150,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4563633617288,1039143947652
11219207060216,14564,10497,10,11,34,2,0,0,-11219207429153,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4563633617288,1039143947652
11219207062591,14564,14558,10,11,34,2,0,0,-11219207436287,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,4563633617288,1039143947652
11219223054905,14569,14559,13,12,28,2,0,0,-11219211427973,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3315806510707,833622310405
11219223066918,14569,10672,13,12,28,2,0,0,-11219223427367,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3315806510707,833622310405
11219231048304,14567,14572,14,15,23,3,0,0,-11219231428212,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,1,4587884765625,1060486930268
11219231057872,14567,14334,14,15,23,3,0,0,-11219219588162,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4587884765625,1060486930268
11219231060247,14567,10499,14,15,23,3,0,0,-11219231428212,0,1,0,1,0,0,0,0,2,0,0,1,0,1,0,1,0,0,4587884765625,1060486930268
11219239055182,14563,14568,8,9,47,2,0,0,-11219231425747,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4395874092215,996639383555
11219239072363,14563,10726,8,9,47,2,0,0,-11219239433012,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,4395874092215,996639383555
11219244425670,10723,14566,4,5,1,3,0,0,-11219223429461,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4509980674003,1005655538863
11219247045018,14566,10724,4,5,10,2,0,0,-11219244659612,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4509980674003,1005655538863
